NOM_MUN,centroid
Azcapotzalco,POINT (-99.18210694194538 19.48532861434981)
Coyoacán,POINT (-99.15037635184261 19.32666725385335)
Cuajimalpa de Morelos,POINT (-99.31072852397259 19.32463430206249)
Gustavo A. Madero,POINT (-99.11586420864498 19.50406520817695)
Iztacalco,POINT (-99.09432979659343 19.39691189743753)
Iztapalapa,POINT (-99.05679896421664 19.34916632038227)
La Magdalena Contreras,POINT (-99.26841290626543 19.26897650284248)
Milpa Alta,POINT (-99.05109542093142 19.13945660065017)
Álvaro Obregón,POINT (-99.24681971215841 19.3361755613803)
Tláhuac,POINT (-99.00282161373519 19.27699837722352)
Tlalpan,POINT (-99.20622079583923 19.19833967673387)
Xochimilco,POINT (-99.09036360461033 19.24514504576684)
Benito Juárez,POINT (-99.16113465856736 19.38064241643988)
Cuauhtémoc,POINT (-99.14905575631629 19.43137342934109)
Miguel Hidalgo,POINT (-99.20456691483336 19.42806236487129)
Venustiano Carranza,POINT (-99.09310579517428 19.43049545451724)
