ACO,16.60053469581758
AJM,15.826383134292005
AJU,11.104420511171861
BJU,17.641204217536007
CHO,16.282232163340215
CUA,14.04449102580898
CUT,14.801630564151393
FAC,17.282725929573957
GAM,16.339650537634398
HGM,18.354492897258016
INN,5.723907028223569
MER,17.228322981366425
MGH,17.677508650519
MON,16.956116687578476
NEZ,16.763069696585
PED,16.906732650477654
SAG,18.04846597462512
SFE,14.981382978723442
TAH,16.96847053151742
TLA,16.99145097063211
UAX,18.150624999999994
UIZ,17.811996939556163
VIF,16.488327958322984
XAL,17.240387783550894
